,x,y,z,SegmentationRegionSlice
128,-239.53125,-239.53125,-181.0,Outside of AOI
129,-239.53125,-239.53125,-182.5,Outside of AOI
130,-239.53125,-239.53125,-184.0,Outside of AOI
131,-239.53125,-239.53125,-185.5,Outside of AOI
132,-239.53125,-239.53125,-187.0,Outside of AOI
133,-239.53125,-239.53125,-188.5,Outside of AOI
134,-239.53125,-239.53125,-190.0,Outside of AOI
135,-239.53125,-239.53125,-191.5,Outside of AOI
136,-239.53125,-239.53125,-193.0,Outside of AOI
137,-239.53125,-239.53125,-194.5,Outside of AOI
138,-239.53125,-239.53125,-196.0,Outside of AOI
139,-239.53125,-239.53125,-197.5,Outside of AOI
140,-239.53125,-239.53125,-199.0,Outside of AOI
141,-239.53125,-239.53125,-200.5,Outside of AOI
142,-239.53125,-239.53125,-202.0,Outside of AOI
143,-239.53125,-239.53125,-203.5,Outside of AOI
144,-239.53125,-239.53125,-205.0,Outside of AOI
145,-239.53125,-239.53125,-206.5,Outside of AOI
146,-239.53125,-239.53125,-208.0,Outside of AOI
147,-239.53125,-239.53125,-209.5,Outside of AOI
148,-239.53125,-239.53125,-211.0,Outside of AOI
149,-239.53125,-239.53125,-212.5,Outside of AOI
150,-239.53125,-239.53125,-214.0,Outside of AOI
151,-239.53125,-239.53125,-215.5,Outside of AOI
152,-239.53125,-239.53125,-217.0,Outside of AOI
153,-239.53125,-239.53125,-218.5,Outside of AOI
154,-239.53125,-239.53125,-220.0,Outside of AOI
155,-239.53125,-239.53125,-221.5,Outside of AOI
156,-239.53125,-239.53125,-223.0,Outside of AOI
157,-239.53125,-239.53125,-224.5,Outside of AOI
158,-239.53125,-239.53125,-226.0,Outside of AOI
159,-239.53125,-239.53125,-227.5,Outside of AOI
160,-239.53125,-239.53125,-229.0,Outside of AOI
161,-239.53125,-239.53125,-230.5,Outside of AOI
162,-239.53125,-239.53125,-232.0,Outside of AOI
163,-239.53125,-239.53125,-233.5,Outside of AOI
164,-239.53125,-239.53125,-235.0,Outside of AOI
165,-239.53125,-239.53125,-236.5,Outside of AOI
166,-239.53125,-239.53125,-238.0,Outside of AOI
167,-239.53125,-239.53125,-239.5,Outside of AOI
168,-239.53125,-239.53125,-241.0,Outside of AOI
169,-239.53125,-239.53125,-242.5,Outside of AOI
170,-239.53125,-239.53125,-244.0,Outside of AOI
171,-239.53125,-239.53125,-245.5,Outside of AOI
172,-239.53125,-239.53125,-247.0,Outside of AOI
173,-239.53125,-239.53125,-248.5,Outside of AOI
174,-239.53125,-239.53125,-250.0,Outside of AOI
175,-239.53125,-239.53125,-251.5,Outside of AOI
176,-239.53125,-239.53125,-253.0,Outside of AOI
177,-239.53125,-239.53125,-254.5,Outside of AOI
178,-239.53125,-239.53125,-256.0,Outside of AOI
179,-239.53125,-239.53125,-257.5,Outside of AOI
180,-239.53125,-239.53125,-259.0,Outside of AOI
181,-239.53125,-239.53125,-260.5,Outside of AOI
182,-239.53125,-239.53125,-262.0,Outside of AOI
183,-239.53125,-239.53125,-263.5,Outside of AOI
184,-239.53125,-239.53125,-265.0,Outside of AOI
185,-239.53125,-239.53125,-266.5,Outside of AOI
186,-239.53125,-239.53125,-268.0,Outside of AOI
187,-239.53125,-239.53125,-269.5,Outside of AOI
188,-239.53125,-239.53125,-271.0,Outside of AOI
189,-239.53125,-239.53125,-272.5,Outside of AOI
190,-239.53125,-239.53125,-274.0,Outside of AOI
191,-239.53125,-239.53125,-275.5,Outside of AOI
192,-239.53125,-239.53125,-277.0,Outside of AOI
193,-239.53125,-239.53125,-278.5,Outside of AOI
194,-239.53125,-239.53125,-280.0,Outside of AOI
195,-239.53125,-239.53125,-281.5,Outside of AOI
196,-239.53125,-239.53125,-283.0,Outside of AOI
197,-239.53125,-239.53125,-284.5,Outside of AOI
198,-239.53125,-239.53125,-286.0,Outside of AOI
199,-239.53125,-239.53125,-287.5,Outside of AOI
200,-239.53125,-239.53125,-289.0,Outside of AOI
201,-239.53125,-239.53125,-290.5,Outside of AOI
202,-239.53125,-239.53125,-292.0,Outside of AOI
203,-239.53125,-239.53125,-293.5,Outside of AOI
204,-239.53125,-239.53125,-295.0,Outside of AOI
205,-239.53125,-239.53125,-296.5,Outside of AOI
206,-239.53125,-239.53125,-298.0,Outside of AOI
207,-239.53125,-239.53125,-299.5,Outside of AOI
208,-239.53125,-239.53125,-301.0,Outside of AOI
209,-239.53125,-239.53125,-302.5,Outside of AOI
210,-239.53125,-239.53125,-304.0,Outside of AOI
211,-239.53125,-239.53125,-305.5,Outside of AOI
212,-239.53125,-239.53125,-307.0,Outside of AOI
213,-239.53125,-239.53125,-308.5,Outside of AOI
214,-239.53125,-239.53125,-310.0,Outside of AOI
215,-239.53125,-239.53125,-311.5,Outside of AOI
216,-239.53125,-239.53125,-313.0,Outside of AOI
217,-239.53125,-239.53125,-314.5,Outside of AOI
218,-239.53125,-239.53125,-316.0,Outside of AOI
219,-239.53125,-239.53125,-317.5,Outside of AOI
220,-239.53125,-239.53125,-319.0,Outside of AOI
221,-239.53125,-239.53125,-320.5,Outside of AOI
222,-239.53125,-239.53125,-322.0,Outside of AOI
223,-239.53125,-239.53125,-323.5,Outside of AOI
224,-239.53125,-239.53125,-325.0,Outside of AOI
225,-239.53125,-239.53125,-326.5,Outside of AOI
226,-239.53125,-239.53125,-328.0,Outside of AOI
227,-239.53125,-239.53125,-329.5,Outside of AOI
228,-239.53125,-239.53125,-331.0,Outside of AOI
229,-239.53125,-239.53125,-332.5,Outside of AOI
230,-239.53125,-239.53125,-334.0,Outside of AOI
231,-239.53125,-239.53125,-335.5,Outside of AOI
232,-239.53125,-239.53125,-337.0,Outside of AOI
233,-239.53125,-239.53125,-338.5,Outside of AOI
234,-239.53125,-239.53125,-340.0,Outside of AOI
235,-239.53125,-239.53125,-341.5,Outside of AOI
236,-239.53125,-239.53125,-343.0,Outside of AOI
237,-239.53125,-239.53125,-344.5,Outside of AOI
238,-239.53125,-239.53125,-346.0,Outside of AOI
239,-239.53125,-239.53125,-347.5,Outside of AOI
240,-239.53125,-239.53125,-349.0,Outside of AOI
241,-239.53125,-239.53125,-350.5,Outside of AOI
242,-239.53125,-239.53125,-352.0,Outside of AOI
243,-239.53125,-239.53125,-353.5,Outside of AOI
244,-239.53125,-239.53125,-355.0,Outside of AOI
245,-239.53125,-239.53125,-356.5,Outside of AOI
246,-239.53125,-239.53125,-358.0,Outside of AOI
247,-239.53125,-239.53125,-359.5,Outside of AOI
248,-239.53125,-239.53125,-361.0,Outside of AOI
249,-239.53125,-239.53125,-362.5,Outside of AOI
250,-239.53125,-239.53125,-364.0,Outside of AOI
251,-239.53125,-239.53125,-365.5,Outside of AOI
252,-239.53125,-239.53125,-367.0,Outside of AOI
253,-239.53125,-239.53125,-368.5,Outside of AOI
254,-239.53125,-239.53125,-370.0,Outside of AOI
255,-239.53125,-239.53125,-371.5,Outside of AOI
256,-239.53125,-239.53125,-373.0,Outside of AOI
257,-239.53125,-239.53125,-374.5,Outside of AOI
258,-239.53125,-239.53125,-376.0,Outside of AOI
259,-239.53125,-239.53125,-377.5,Outside of AOI
260,-239.53125,-239.53125,-379.0,Outside of AOI
261,-239.53125,-239.53125,-380.5,Outside of AOI
262,-239.53125,-239.53125,-382.0,Outside of AOI
263,-239.53125,-239.53125,-383.5,Outside of AOI
264,-239.53125,-239.53125,-385.0,Outside of AOI
265,-239.53125,-239.53125,-386.5,Outside of AOI
266,-239.53125,-239.53125,-388.0,Outside of AOI
267,-239.53125,-239.53125,-389.5,Outside of AOI
268,-239.53125,-239.53125,-391.0,Outside of AOI
269,-239.53125,-239.53125,-392.5,Outside of AOI
270,-239.53125,-239.53125,-394.0,Outside of AOI
271,-239.53125,-239.53125,-395.5,Outside of AOI
272,-239.53125,-239.53125,-397.0,Outside of AOI
273,-239.53125,-239.53125,-398.5,Outside of AOI
274,-239.53125,-239.53125,-400.0,Outside of AOI
275,-239.53125,-239.53125,-401.5,Outside of AOI
276,-239.53125,-239.53125,-403.0,Outside of AOI
277,-239.53125,-239.53125,-404.5,Outside of AOI
278,-239.53125,-239.53125,-406.0,Outside of AOI
279,-239.53125,-239.53125,-407.5,Outside of AOI
280,-239.53125,-239.53125,-409.0,Outside of AOI
281,-239.53125,-239.53125,-410.5,Outside of AOI
282,-239.53125,-239.53125,-412.0,Outside of AOI
283,-239.53125,-239.53125,-414.0,Outside of AOI
284,-239.53125,-239.53125,-415.5,Outside of AOI
285,-239.53125,-239.53125,-417.0,Outside of AOI
286,-239.53125,-239.53125,-418.5,Outside of AOI
287,-239.53125,-239.53125,-420.0,Outside of AOI
288,-239.53125,-239.53125,-421.5,Outside of AOI
289,-239.53125,-239.53125,-423.0,Outside of AOI
290,-239.53125,-239.53125,-424.5,Outside of AOI
291,-239.53125,-239.53125,-426.0,Outside of AOI
292,-239.53125,-239.53125,-427.5,Outside of AOI
293,-239.53125,-239.53125,-429.0,Outside of AOI
294,-239.53125,-239.53125,-430.5,Outside of AOI
295,-239.53125,-239.53125,-432.0,Outside of AOI
296,-239.53125,-239.53125,-433.5,Outside of AOI
297,-239.53125,-239.53125,-435.0,Outside of AOI
298,-239.53125,-239.53125,-436.5,Outside of AOI
299,-239.53125,-239.53125,-438.0,Outside of AOI
300,-239.53125,-239.53125,-439.5,Outside of AOI
301,-239.53125,-239.53125,-441.0,Outside of AOI
302,-239.53125,-239.53125,-442.5,Outside of AOI
303,-239.53125,-239.53125,-444.0,Outside of AOI
304,-239.53125,-239.53125,-445.5,Outside of AOI
305,-239.53125,-239.53125,-447.0,Outside of AOI
306,-239.53125,-239.53125,-448.5,Outside of AOI
307,-239.53125,-239.53125,-450.0,Outside of AOI
308,-239.53125,-239.53125,-451.5,Outside of AOI
309,-239.53125,-239.53125,-453.0,Outside of AOI
310,-239.53125,-239.53125,-454.5,Outside of AOI
311,-239.53125,-239.53125,-456.0,Outside of AOI
312,-239.53125,-239.53125,-457.5,Outside of AOI
313,-239.53125,-239.53125,-459.0,Outside of AOI
314,-239.53125,-239.53125,-460.5,Outside of AOI
315,-239.53125,-239.53125,-462.0,Outside of AOI
316,-239.53125,-239.53125,-463.5,Outside of AOI
317,-239.53125,-239.53125,-465.0,Outside of AOI
318,-239.53125,-239.53125,-466.5,Outside of AOI
319,-239.53125,-239.53125,-468.0,Outside of AOI
320,-239.53125,-239.53125,-469.5,Outside of AOI
321,-239.53125,-239.53125,-471.0,Outside of AOI
322,-239.53125,-239.53125,-472.5,Outside of AOI
323,-239.53125,-239.53125,-474.0,Outside of AOI
324,-239.53125,-239.53125,-475.5,Outside of AOI
325,-239.53125,-239.53125,-477.0,Outside of AOI
326,-239.53125,-239.53125,-478.5,Outside of AOI
327,-239.53125,-239.53125,-480.0,Outside of AOI
328,-239.53125,-239.53125,-481.5,Outside of AOI
329,-239.53125,-239.53125,-483.0,Outside of AOI
330,-239.53125,-239.53125,-484.5,Outside of AOI
331,-239.53125,-239.53125,-486.0,Outside of AOI
332,-239.53125,-239.53125,-487.5,Outside of AOI
333,-239.53125,-239.53125,-489.0,Outside of AOI
334,-239.53125,-239.53125,-490.5,Outside of AOI
335,-239.53125,-239.53125,-492.0,Outside of AOI
336,-239.53125,-239.53125,-493.5,Outside of AOI
337,-239.53125,-239.53125,-495.0,Outside of AOI
338,-239.53125,-239.53125,-496.5,Outside of AOI
339,-239.53125,-239.53125,-498.0,Outside of AOI
340,-239.53125,-239.53125,-499.5,Outside of AOI
341,-239.53125,-239.53125,-501.0,Outside of AOI
342,-239.53125,-239.53125,-502.5,Outside of AOI
343,-239.53125,-239.53125,-504.0,Outside of AOI
344,-239.53125,-239.53125,-505.5,Outside of AOI
345,-239.53125,-239.53125,-507.0,Outside of AOI
346,-239.53125,-239.53125,-508.5,Outside of AOI
347,-239.53125,-239.53125,-510.0,Outside of AOI
348,-239.53125,-239.53125,-511.5,Outside of AOI
349,-239.53125,-239.53125,-513.0,Outside of AOI
350,-239.53125,-239.53125,-514.5,Outside of AOI
351,-239.53125,-239.53125,-516.0,Outside of AOI
352,-239.53125,-239.53125,-517.5,Outside of AOI
353,-239.53125,-239.53125,-519.0,Outside of AOI
354,-239.53125,-239.53125,-520.5,Outside of AOI
355,-239.53125,-239.53125,-522.0,Outside of AOI
356,-239.53125,-239.53125,-523.5,Outside of AOI
357,-239.53125,-239.53125,-525.0,Outside of AOI
358,-239.53125,-239.53125,-526.5,Outside of AOI
359,-239.53125,-239.53125,-528.0,Outside of AOI
360,-239.53125,-239.53125,-529.5,Outside of AOI
361,-239.53125,-239.53125,-531.0,Outside of AOI
362,-239.53125,-239.53125,-532.5,Outside of AOI
363,-239.53125,-239.53125,-534.0,Outside of AOI
364,-239.53125,-239.53125,-535.5,Outside of AOI
365,-239.53125,-239.53125,-537.0,Outside of AOI
366,-239.53125,-239.53125,-538.5,Outside of AOI
367,-239.53125,-239.53125,-540.0,Outside of AOI
368,-239.53125,-239.53125,-541.5,Outside of AOI
369,-239.53125,-239.53125,-543.0,Outside of AOI
370,-239.53125,-239.53125,-544.5,Outside of AOI
371,-239.53125,-239.53125,-546.0,Outside of AOI
372,-239.53125,-239.53125,-547.5,Outside of AOI
373,-239.53125,-239.53125,-549.0,Outside of AOI
374,-239.53125,-239.53125,-550.5,Outside of AOI
375,-239.53125,-239.53125,-552.0,Outside of AOI
376,-239.53125,-239.53125,-553.5,Outside of AOI
377,-239.53125,-239.53125,-555.0,Outside of AOI
378,-239.53125,-239.53125,-556.5,Outside of AOI
379,-239.53125,-239.53125,-558.0,Outside of AOI
380,-239.53125,-239.53125,-559.5,Outside of AOI
381,-239.53125,-239.53125,-561.0,Outside of AOI
382,-239.53125,-239.53125,-562.5,Outside of AOI
383,-239.53125,-239.53125,-564.0,Outside of AOI
384,-239.53125,-239.53125,-565.5,Outside of AOI
385,-239.53125,-239.53125,-567.0,Outside of AOI
386,-239.53125,-239.53125,-568.5,Outside of AOI
387,-239.53125,-239.53125,-570.0,Outside of AOI
388,-239.53125,-239.53125,-571.5,Outside of AOI
389,-239.53125,-239.53125,-573.0,Outside of AOI
390,-239.53125,-239.53125,-574.5,Outside of AOI
391,-239.53125,-239.53125,-576.0,Outside of AOI
392,-239.53125,-239.53125,-577.5,Outside of AOI
393,-239.53125,-239.53125,-579.0,Outside of AOI
394,-239.53125,-239.53125,-580.5,Outside of AOI
395,-239.53125,-239.53125,-582.0,Outside of AOI
396,-239.53125,-239.53125,-583.5,Outside of AOI
397,-239.53125,-239.53125,-585.0,Outside of AOI
398,-239.53125,-239.53125,-586.5,Outside of AOI
399,-239.53125,-239.53125,-588.0,Outside of AOI
400,-239.53125,-239.53125,-589.5,Outside of AOI
401,-239.53125,-239.53125,-591.0,Outside of AOI
402,-239.53125,-239.53125,-592.5,Outside of AOI
403,-239.53125,-239.53125,-594.0,Outside of AOI
404,-239.53125,-239.53125,-595.5,Outside of AOI
405,-239.53125,-239.53125,-597.0,Outside of AOI
406,-239.53125,-239.53125,-598.5,Outside of AOI
407,-239.53125,-239.53125,-600.0,Outside of AOI
408,-239.53125,-239.53125,-601.5,Outside of AOI
409,-239.53125,-239.53125,-603.0,Outside of AOI
410,-239.53125,-239.53125,-604.5,Outside of AOI
411,-239.53125,-239.53125,-606.0,Outside of AOI
412,-239.53125,-239.53125,-607.5,Outside of AOI
413,-239.53125,-239.53125,-609.0,Outside of AOI
414,-239.53125,-239.53125,-610.5,Outside of AOI
415,-239.53125,-239.53125,-612.0,Outside of AOI
416,-239.53125,-239.53125,-613.5,Outside of AOI
417,-239.53125,-239.53125,-615.0,Outside of AOI
418,-239.53125,-239.53125,-616.5,Outside of AOI
419,-239.53125,-239.53125,-618.0,Outside of AOI
420,-239.53125,-239.53125,-619.5,Outside of AOI
421,-239.53125,-239.53125,-621.0,Outside of AOI
422,-239.53125,-239.53125,-622.5,Outside of AOI
423,-239.53125,-239.53125,-624.0,Outside of AOI
424,-239.53125,-239.53125,-625.5,Outside of AOI
425,-239.53125,-239.53125,-627.0,Outside of AOI
426,-239.53125,-239.53125,-629.0,Outside of AOI
427,-239.53125,-239.53125,-630.5,Outside of AOI
428,-239.53125,-239.53125,-632.0,Outside of AOI
429,-239.53125,-239.53125,-633.5,Outside of AOI
430,-239.53125,-239.53125,-635.0,Outside of AOI
431,-239.53125,-239.53125,-636.5,Outside of AOI
432,-239.53125,-239.53125,-638.0,Outside of AOI
433,-239.53125,-239.53125,-639.5,Outside of AOI
434,-239.53125,-239.53125,-641.0,Outside of AOI
435,-239.53125,-239.53125,-642.5,Outside of AOI
436,-239.53125,-239.53125,-644.0,Outside of AOI
437,-239.53125,-239.53125,-645.5,Outside of AOI
438,-239.53125,-239.53125,-647.0,Outside of AOI
439,-239.53125,-239.53125,-648.5,Outside of AOI
440,-239.53125,-239.53125,-650.0,Outside of AOI
441,-239.53125,-239.53125,-651.5,Outside of AOI
442,-239.53125,-239.53125,-653.0,Outside of AOI
443,-239.53125,-239.53125,-654.5,Outside of AOI
444,-239.53125,-239.53125,-656.0,Outside of AOI
445,-239.53125,-239.53125,-657.5,Outside of AOI
446,-239.53125,-239.53125,-659.0,Outside of AOI
447,-239.53125,-239.53125,-660.5,Outside of AOI
448,-239.53125,-239.53125,-662.0,Outside of AOI
449,-239.53125,-239.53125,-663.5,Outside of AOI
450,-239.53125,-239.53125,-665.0,Outside of AOI
451,-239.53125,-239.53125,-666.5,Outside of AOI
452,-239.53125,-239.53125,-668.0,Outside of AOI
453,-239.53125,-239.53125,-669.5,Outside of AOI
454,-239.53125,-239.53125,-671.0,Outside of AOI
455,-239.53125,-239.53125,-672.5,Outside of AOI
456,-239.53125,-239.53125,-674.0,Outside of AOI
457,-239.53125,-239.53125,-675.5,Outside of AOI
458,-239.53125,-239.53125,-677.0,Outside of AOI
459,-239.53125,-239.53125,-678.5,Outside of AOI
460,-239.53125,-239.53125,-680.0,Outside of AOI
461,-239.53125,-239.53125,-681.5,Outside of AOI
462,-239.53125,-239.53125,-683.0,Outside of AOI
463,-239.53125,-239.53125,-684.5,Outside of AOI
464,-239.53125,-239.53125,-686.0,Outside of AOI
465,-239.53125,-239.53125,-687.5,Outside of AOI
466,-239.53125,-239.53125,-689.0,Outside of AOI
467,-239.53125,-239.53125,-690.5,Outside of AOI
468,-239.53125,-239.53125,-692.0,Outside of AOI
469,-239.53125,-239.53125,-693.5,Outside of AOI
470,-239.53125,-239.53125,-695.0,Outside of AOI
471,-239.53125,-239.53125,-696.5,Outside of AOI
472,-239.53125,-239.53125,-698.0,Outside of AOI
473,-239.53125,-239.53125,-699.5,Outside of AOI
474,-239.53125,-239.53125,-701.0,Outside of AOI
475,-239.53125,-239.53125,-702.5,Outside of AOI
476,-239.53125,-239.53125,-704.0,Outside of AOI
477,-239.53125,-239.53125,-705.5,Outside of AOI
478,-239.53125,-239.53125,-707.0,Outside of AOI
479,-239.53125,-239.53125,-708.5,Outside of AOI
480,-239.53125,-239.53125,-710.0,Outside of AOI
481,-239.53125,-239.53125,-711.5,Outside of AOI
482,-239.53125,-239.53125,-713.0,Outside of AOI
483,-239.53125,-239.53125,-714.5,Outside of AOI
484,-239.53125,-239.53125,-716.0,Outside of AOI
485,-239.53125,-239.53125,-717.5,Outside of AOI
486,-239.53125,-239.53125,-719.0,Outside of AOI
487,-239.53125,-239.53125,-720.5,Outside of AOI
488,-239.53125,-239.53125,-722.0,Outside of AOI
489,-239.53125,-239.53125,-723.5,Outside of AOI
490,-239.53125,-239.53125,-725.0,Outside of AOI
491,-239.53125,-239.53125,-726.5,Outside of AOI
492,-239.53125,-239.53125,-728.0,Outside of AOI
493,-239.53125,-239.53125,-729.5,Outside of AOI
494,-239.53125,-239.53125,-731.0,Outside of AOI
495,-239.53125,-239.53125,-732.5,Outside of AOI
496,-239.53125,-239.53125,-734.0,Outside of AOI
497,-239.53125,-239.53125,-735.5,Outside of AOI
498,-239.53125,-239.53125,-737.0,Outside of AOI
499,-239.53125,-239.53125,-738.5,Outside of AOI
500,-239.53125,-239.53125,-740.0,Outside of AOI
501,-239.53125,-239.53125,-741.5,Outside of AOI
502,-239.53125,-239.53125,-743.0,Outside of AOI
503,-239.53125,-239.53125,-744.5,Outside of AOI
504,-239.53125,-239.53125,-746.0,Outside of AOI
505,-239.53125,-239.53125,-747.5,Outside of AOI
506,-239.53125,-239.53125,-749.0,Outside of AOI
507,-239.53125,-239.53125,-750.5,Outside of AOI
508,-239.53125,-239.53125,-752.0,Outside of AOI
509,-239.53125,-239.53125,-753.5,Outside of AOI
510,-239.53125,-239.53125,-755.0,Outside of AOI
511,-239.53125,-239.53125,-756.5,Outside of AOI
512,-239.53125,-239.53125,-758.0,Outside of AOI
513,-239.53125,-239.53125,-759.5,Outside of AOI
514,-239.53125,-239.53125,-761.0,Outside of AOI
515,-239.53125,-239.53125,-762.5,Outside of AOI
516,-239.53125,-239.53125,-764.0,Outside of AOI
